run id,shared,expertise,strategy,time to plan,average risk,max risk,foam collisions,wood collisions,metal collisions,best makespan,human makespan,best robot makespan,estimated robot makespan,robot foam,robot wood,robot metal
45,2,exp,MakespanPlanner,85889,796.4904242424243,5120.0,1,2,2,94.5,94.5,90.0,112.375,4,3,4
46,2,exp,MakespanPlanner,113182,1026.2581818181818,8192.0,1,1,2,97.0,97.0,95.75,115.75,4,4,3
47,2,exp,MakespanPlanner,107242,761.443888888889,3200.0,1,2,1,91.0,81.0,91.0,107.5,4,4,4
48,2,exp,MakespanPlanner,94268,850.035643939394,7113.386666666667,2,1,1,100.5,92.0,100.5,126.75,3,4,4
49,2,exp,MakespanPlanner,97040,761.1169696969697,4096.0,3,1,1,99.0,92.0,99.0,129.375,3,4,4
50,2,exp,RiskPlanner,43493,19.06206060606061,151.33333333333334,0,0,0,286.0,97.0,286.0,286.0,4,4,3
51,2,exp,RiskPlanner,44688,23.79741414141414,208.32,1,2,0,286.0,97.0,286.0,323.5,4,4,3
52,2,exp,RiskPlanner,52087,25.107151515151518,230.56,2,1,0,286.0,97.0,286.0,323.5,4,4,3
53,2,exp,RiskPlanner,43493,19.06206060606061,151.33333333333334,0,0,0,286.0,97.0,286.0,286.0,4,4,3
54,2,exp,RiskPlanner,52130,24.990787878787877,230.56,2,1,0,286.0,97.0,286.0,323.5,4,4,3
55,2,exp,Planner,15034,448.5195804988662,4096.0,0,2,1,129.0,81.0,129.0,144.5,4,4,4
56,2,exp,Planner,15341,237.6174545454546,3596.8,2,1,2,144.75,94.5,144.75,194.75,4,3,4
57,2,exp,Planner,15338,484.0916363636363,4096.0,1,2,1,139.0,94.5,139.0,154.0,4,3,4
58,2,exp,Planner,15496,421.17009259259265,2577.0666666666666,0,3,1,126.5,126.5,113.0,141.375,4,3,2
59,2,exp,Planner,15343,634.7315151515152,2560.0,0,2,1,97.25,94.5,97.25,111.875,4,3,4
60,2,unexp,RiskAssessmentPlanner,52038,135.38333333333333,1208.576,2,0,1,282.0,118.5,282.0,319.5,4,4,4
